id,lat,lon,name,docks
2008,40.70569254,-74.01677685,"Little West St and 1 Place",0
2009,40.71117444,-73.99682619,"Catherine St & Monroe St",0
2010,40.72165481,-74.00234737,"Grand Street & Greene Street",0
2011,40.73409459,-73.98683104,"E 15 Street & 3 Avenue",0
2012,40.73945846,-73.97690655,"E 27 Street and 1 Avenue",0
2013,40.73915431,-74.00271983,"Greenwich Av and 8 Av",0
2014,40.74816819,-73.97828553,"Lexington Av & E. 37th Street",0
2015,40.7490616,-73.99180214,"W 31 Street and 7 Avenue",0
2016,40.74971775,-74.00295035,"W 26 Street & 10 Avenue",0
2017,40.75022392,-73.97121414,"E 43 Street & 2 Avenue",0
2018,40.75206232,-73.9816324,"E 40th Street & 5th Avenue",0
2019,40.7546011,-73.97187886,"E 48 Street and 3 Avenue",0
2020,40.75797322,-73.96603308,"E 55th Street and 2nd Av",0
2021,40.75929124,-73.98859651,"W 45 Street and 8 Avenue",0
2022,40.75849116,-73.95920622,"E 59th Street and Sutton Pl",0
2023,40.75968085,-73.97031366,"E 55 St & Lexington Av",0
2024,40.76162122,-73.97469473,"E 55 Street & 5 Avenue",0
2025,40.7643971,-73.97371465,"Grand Army Plz & Central Park S",0
2026,40.76915505,-73.98191841,"Broadway & W 60 Street",0
